customerID,gender,SeniorCitizen,Partner,tenure,Contract,MonthlyCharges,TotalCharges,InternetService,TechSupport,Churn,churn_probability,risk_segment
2639-UGMAZ,Male,Yes,No,71,One year,56.45,3985.35,DSL,No,0,0.04540895692989548,Low Risk
2876-GZYZC,Female,No,No,13,Month-to-month,85.95,1215.65,Fiber optic,No,0,0.7610178841960179,High Risk
6207-WIOLX,Female,No,Yes,25,Month-to-month,58.6,1502.65,DSL,No,1,0.14657232144002197,Low Risk
8587-XYZSF,Male,No,No,67,Two year,50.55,3260.1,DSL,Yes,0,0.01367045898773543,Low Risk
3091-FYHKI,Male,No,No,1,Month-to-month,35.45,35.45,DSL,No,1,0.8602885649231605,High Risk
2372-HWUHI,Male,No,No,2,Month-to-month,44.35,81.25,DSL,No,1,0.6476812551769047,Medium Risk
7799-LGRDP,Female,No,No,43,Two year,25.7,1188.2,No,No internet service,0,0.015177301682801504,Low Risk
7850-VWJUU,Female,No,No,23,Month-to-month,75.0,1778.5,Fiber optic,No,0,0.5232357938969926,Medium Risk
3774-VBNXY,Female,No,Yes,64,Two year,20.2,1277.75,No,No internet service,0,0.0016926820569930837,Low Risk
6217-KDYWC,Male,No,No,57,Two year,19.6,1170.55,No,No internet service,0,0.0022947834571583315,Low Risk
0390-DCFDQ,Female,Yes,Yes,1,Month-to-month,70.45,70.45,Fiber optic,No,1,0.8381000406853675,High Risk
3146-MSEGF,Female,Yes,Yes,72,Two year,88.05,6425.65,DSL,Yes,0,0.004937876836137973,Low Risk
4080-OGPJL,Female,No,No,8,Month-to-month,71.15,563.65,DSL,Yes,1,0.37132010147564765,Low Risk
1095-WGNGG,Female,No,Yes,61,Two year,101.05,5971.25,Fiber optic,No,0,0.29349368067646303,Low Risk
2636-SJDOU,Male,No,No,64,One year,84.3,5289.05,Fiber optic,No,0,0.05952401839125813,Low Risk
1131-QQZEB,Male,Yes,Yes,71,Two year,23.95,1756.2,No,No internet service,0,0.0038067696460706703,Low Risk
5716-EZXZN,Female,No,Yes,65,Two year,99.05,6416.7,Fiber optic,Yes,0,0.019453381057505933,Low Risk
6837-BJYDQ,Male,No,No,3,One year,19.6,61.35,No,No internet service,0,0.12345323392795399,Low Risk
2135-RXIHG,Male,No,No,1,Month-to-month,45.65,45.65,DSL,No,1,0.7521875915303851,High Risk
6440-DKQGE,Male,No,No,30,One year,64.5,1929.95,DSL,No,0,0.042717799461191766,Low Risk
3466-BYAVD,Male,No,Yes,15,Month-to-month,69.5,1071.4,DSL,Yes,0,0.08819367775006302,Low Risk
3780-YVMFA,Female,No,Yes,8,Month-to-month,68.55,564.35,DSL,Yes,0,0.3286186094589668,Low Risk
3874-EQOEP,Male,No,No,7,Month-to-month,95.0,655.5,Fiber optic,No,1,0.7546935732693317,High Risk
1679-JRFBR,Female,No,Yes,70,One year,108.15,7930.55,Fiber optic,No,0,0.09167970857048792,Low Risk
9073-ZZIAY,Male,No,Yes,62,Two year,86.1,5215.25,DSL,Yes,0,0.007154479596638178,Low Risk
3077-RSNTJ,Female,No,Yes,6,Month-to-month,19.7,113.5,No,No internet service,0,0.1890886644068081,Low Risk
6551-GNYDG,Female,No,Yes,14,Month-to-month,80.9,1152.8,Fiber optic,No,0,0.6718359309907264,Medium Risk
9167-APMXZ,Female,No,No,22,Month-to-month,84.15,1821.95,Fiber optic,No,0,0.8017055398633646,High Risk
2749-CTKAJ,Male,No,Yes,22,One year,20.15,419.9,No,No internet service,0,0.025462661941906755,Low Risk
6371-NZYEG,Male,No,Yes,16,Two year,64.25,1024.0,DSL,No,0,0.01721955896242111,Low Risk
7554-NEWDD,Male,No,No,10,Two year,25.7,251.6,No,No internet service,0,0.11909785106810067,Low Risk
8992-VONJD,Female,No,No,13,Month-to-month,56.0,764.55,DSL,No,0,0.1879240163642983,Low Risk
0867-MKZVY,Female,No,Yes,20,Month-to-month,82.4,1592.35,Fiber optic,No,1,0.5682872351007123,Medium Risk
4482-EWFMI,Female,No,No,2,Month-to-month,69.7,135.2,Fiber optic,No,0,0.8800512105988864,High Risk
4648-YPBTM,Male,No,No,53,Two year,73.9,3958.25,DSL,Yes,0,0.027572300068182197,Low Risk
2907-ILJBN,Female,No,Yes,11,One year,20.6,233.9,No,No internet service,0,0.057007600762365794,Low Risk
6345-FZOQH,Male,No,Yes,69,Two year,19.9,1363.45,No,No internet service,0,0.0015266671943015137,Low Risk
3376-BMGFE,Female,No,No,4,Month-to-month,70.9,273.0,Fiber optic,No,1,0.8702828019556408,High Risk
5997-OPVFA,Male,No,Yes,72,Two year,89.05,6254.45,DSL,Yes,0,0.016960668929236433,Low Risk
3445-HXXGF,Male,Yes,Yes,58,Month-to-month,45.3,2651.2,DSL,No,1,0.13194604482193878,Low Risk
1159-WFSGR,Female,No,Yes,16,Month-to-month,20.4,321.4,No,No internet service,0,0.1788969238185551,Low Risk
7654-YWJUF,Male,No,Yes,43,One year,84.25,3539.25,Fiber optic,Yes,0,0.08189944646177585,Low Risk
1875-QIVME,Female,No,Yes,2,Month-to-month,104.4,242.8,Fiber optic,Yes,1,0.7997653549416353,High Risk
6727-IOTLZ,Male,No,Yes,14,Two year,81.95,1181.75,DSL,Yes,0,0.03044098040631666,Low Risk
0691-JVSYA,Female,No,Yes,53,One year,94.85,5000.2,Fiber optic,No,1,0.4180132861555794,Medium Risk
5918-VUKWP,Female,No,No,32,One year,20.55,654.55,No,No internet service,0,0.0816943771756814,Low Risk
1744-JHKYS,Female,No,Yes,34,Month-to-month,24.7,780.2,No,No internet service,0,0.15142358850905588,Low Risk
2656-FMOKZ,Female,Yes,No,15,Month-to-month,74.45,1145.7,Fiber optic,No,1,0.580370795603778,Medium Risk
2070-FNEXE,Female,Yes,No,7,Month-to-month,76.45,503.6,Fiber optic,No,1,0.7122967598026082,High Risk
5947-SGKCL,Female,No,Yes,15,Month-to-month,105.35,1559.25,Fiber optic,No,0,0.6982565252764514,Medium Risk
3712-PKXZA,Male,No,Yes,61,One year,20.55,1252.0,No,No internet service,0,0.00610113906854744,Low Risk
6317-YPKDH,Female,No,No,1,Month-to-month,29.95,29.95,DSL,No,1,0.8336783084481036,High Risk
6582-OIVSP,Female,No,No,1,Month-to-month,45.3,45.3,DSL,No,0,0.6891460676334624,Medium Risk
9367-WXLCH,Male,No,No,8,Month-to-month,84.5,662.65,Fiber optic,No,1,0.8243721690594523,High Risk
5524-KHNJP,Male,No,Yes,33,One year,74.75,2453.3,DSL,No,0,0.02932642300172311,Low Risk
1918-ZBFQJ,Female,No,No,13,Month-to-month,79.25,1111.65,Fiber optic,No,1,0.4978061593694383,Medium Risk
1024-GUALD,Female,No,Yes,1,Month-to-month,24.8,24.8,DSL,No,1,0.8012853386695672,High Risk
4827-USJHP,Male,No,No,20,Month-to-month,51.8,1023.85,DSL,No,0,0.2459725005389337,Low Risk
8167-GJLRN,Male,No,No,3,Month-to-month,30.4,82.15,DSL,Yes,0,0.6361393896247011,Medium Risk
0956-SYCWG,Female,No,No,13,One year,19.65,244.8,No,No internet service,0,0.1337359994024862,Low Risk
8017-UVSZU,Female,No,Yes,40,Month-to-month,56.6,2379.1,DSL,No,0,0.16685650528776969,Low Risk
7100-FQPRV,Male,No,Yes,43,One year,71.9,3173.35,DSL,Yes,0,0.019859582618149355,Low Risk
2472-OVKUP,Male,No,Yes,6,Month-to-month,91.0,531.0,Fiber optic,No,1,0.6507406795536307,Medium Risk
2984-RGEYA,Female,No,Yes,69,Two year,19.75,1375.4,No,No internet service,0,0.002729813038559345,Low Risk
9680-NIAUV,Female,No,Yes,72,Two year,109.7,8129.3,Fiber optic,No,0,0.05005172008928095,Low Risk
2146-EGVDT,Male,No,Yes,59,Two year,19.3,1192.7,No,No internet service,0,0.0014755219659074643,Low Risk
2604-IJPDU,Female,No,Yes,20,Month-to-month,96.55,1901.65,Fiber optic,Yes,0,0.334070687649083,Low Risk
9178-JHUVJ,Male,No,Yes,24,Two year,24.1,587.4,No,No internet service,0,0.028093682001860583,Low Risk
6168-YBYNP,Male,No,No,59,Month-to-month,111.35,6519.75,Fiber optic,Yes,0,0.5721816999057634,Medium Risk
7255-SSFBC,Male,No,Yes,72,Two year,112.25,8041.65,Fiber optic,Yes,0,0.14125786812166566,Low Risk
3645-DEYGF,Male,No,No,1,Month-to-month,20.75,20.75,No,No internet service,0,0.30853785407231243,Low Risk
9323-HGFWY,Female,No,Yes,27,One year,101.9,2681.15,Fiber optic,Yes,0,0.16501920564429892,Low Risk
8544-GOQSH,Female,No,No,14,Month-to-month,80.05,1112.3,Fiber optic,Yes,0,0.3514987727932097,Low Risk
3363-DTIVD,Male,No,Yes,71,Two year,105.55,7405.5,Fiber optic,No,0,0.08385190545380666,Low Risk
7018-WBJNK,Male,No,No,13,Month-to-month,78.3,1033.95,Fiber optic,No,0,0.412927345803447,Medium Risk
9142-KZXOP,Male,No,No,44,Month-to-month,68.85,2958.95,Fiber optic,No,0,0.30902093022935445,Low Risk
7674-YTAFD,Female,No,No,33,One year,79.95,2684.85,Fiber optic,Yes,0,0.19511710846605523,Low Risk
6348-SNFUS,Male,No,Yes,72,Two year,55.45,4179.2,DSL,Yes,0,0.0024821644201713415,Low Risk
1285-OKIPP,Male,No,No,1,Month-to-month,79.9,79.9,Fiber optic,No,1,0.9144598748438598,High Risk
7825-ECJRF,Female,No,No,19,Month-to-month,106.6,1934.45,Fiber optic,Yes,1,0.5502480979880847,Medium Risk
1347-KTTTA,Male,No,Yes,64,One year,102.45,6654.1,Fiber optic,Yes,0,0.07592675674890303,Low Risk
7841-TZDMQ,Male,No,No,2,Month-to-month,46.0,84.5,DSL,No,1,0.6089464807883244,Medium Risk
4195-NZGTA,Female,No,No,1,Month-to-month,25.25,25.25,DSL,No,0,0.8325631858286195,High Risk
7157-SMCFK,Male,No,No,61,Two year,19.75,1124.2,No,No internet service,0,0.0018163644854617027,Low Risk
4709-LKHYG,Female,No,Yes,29,One year,20.0,540.05,No,No internet service,0,0.03462115335524194,Low Risk
2504-DSHIH,Male,Yes,Yes,23,Month-to-month,86.8,1975.85,Fiber optic,No,0,0.6608090813135961,Medium Risk
0699-NDKJM,Female,No,Yes,57,Month-to-month,58.75,3437.45,DSL,No,0,0.19276765979360452,Low Risk
9286-BHDQG,Male,No,Yes,72,Two year,45.25,3139.8,DSL,Yes,0,0.0012988432657925937,Low Risk
0230-WEQUW,Male,No,Yes,66,Two year,56.6,3789.2,DSL,Yes,0,0.012613286969939625,Low Risk
2040-LDIWQ,Male,No,Yes,65,Two year,84.2,5324.5,DSL,Yes,0,0.020595101805166254,Low Risk
6496-JDSSB,Female,No,No,8,Month-to-month,80.0,624.6,Fiber optic,No,0,0.8425707838209693,High Risk
9408-SSNVZ,Female,No,No,4,Month-to-month,70.15,268.35,Fiber optic,No,1,0.8368639980456933,High Risk
4443-EMBNA,Female,No,Yes,71,Two year,24.75,1836.9,No,No internet service,0,0.006001688640807813,Low Risk
6469-MRVET,Male,No,Yes,1,One year,20.2,20.2,No,No internet service,0,0.15603790335881526,Low Risk
0742-MOABM,Male,No,Yes,4,Month-to-month,50.05,179.35,DSL,Yes,1,0.3131255079826589,Low Risk
5961-VUSRV,Female,No,No,12,One year,19.35,219.35,No,No internet service,0,0.19633215802574425,Low Risk
6778-JFCMK,Male,No,No,24,One year,50.6,1288.75,DSL,No,0,0.14297561749877757,Low Risk
6341-JVQGF,Female,No,Yes,31,One year,81.15,2545.75,DSL,Yes,0,0.02962706954279013,Low Risk
2232-DMLXU,Female,No,Yes,1,Month-to-month,55.2,55.2,DSL,No,1,0.7222055659933702,High Risk
4811-JBUVU,Male,No,No,30,Month-to-month,89.9,2723.15,Fiber optic,Yes,0,0.42243601908298256,Medium Risk
0945-TSONX,Female,No,Yes,47,Two year,85.3,4107.25,DSL,Yes,0,0.009838068679884902,Low Risk
2651-ZCBXV,Male,No,No,54,Two year,108.0,5760.65,Fiber optic,Yes,0,0.0427545895573097,Low Risk
3316-UWXUY,Male,No,No,50,Month-to-month,93.5,4747.5,Fiber optic,Yes,0,0.1187441429187482,Low Risk
8937-RDTHP,Male,No,No,1,Month-to-month,84.6,84.6,Fiber optic,No,1,0.7948815708383938,High Risk
7083-MIOPC,Female,No,No,72,Two year,20.25,1566.9,No,No internet service,0,0.0022031774006691894,Low Risk
1984-GPTEH,Female,No,No,29,Month-to-month,25.15,702.0,No,No internet service,0,0.2288498359299593,Low Risk
1251-KRREG,Male,No,No,2,Month-to-month,54.4,114.1,DSL,No,1,0.5111117662225058,Medium Risk
0621-JFHOL,Female,No,No,10,Two year,29.6,299.05,DSL,Yes,0,0.09893093537765109,Low Risk
